v8-version,4,9,385,28,0
code-creation,Stub,2,0x2c10840,172,"DoubleToIStub"
code-creation,Stub,2,0x2c10900,172,"DoubleToIStub"
code-creation,Stub,12,0x2c109c0,493,"BinaryOpICStub(BIT_AND:Int32*Int32->Int32)"
code-creation,Stub,12,0x2c10bc0,420,"BinaryOpICStub(BIT_AND:Int32*Int32->Smi)"
code-creation,Stub,12,0x2c10d80,405,"BinaryOpICStub(BIT_AND:Int32*Smi->Int32)"
code-creation,Stub,12,0x2c10f20,300,"BinaryOpICStub(BIT_AND:Int32*Smi->Smi)"
code-creation,Stub,12,0x2c11060,493,"BinaryOpICStub(BIT_AND:Number*Int32->Int32)"
code-creation,Stub,12,0x2c11260,300,"BinaryOpICStub(BIT_AND:Number*Smi->Smi)"
code-creation,Stub,12,0x2c113a0,405,"BinaryOpICStub(BIT_AND:Smi*Int32->Int32)"
code-creation,Stub,12,0x2c11540,300,"BinaryOpICStub(BIT_AND:Smi*Int32->Smi)"
code-creation,Stub,12,0x2c11680,300,"BinaryOpICStub(BIT_AND:Smi*Number->Smi)"
code-creation,Stub,12,0x2c117c0,156,"BinaryOpICStub(BIT_AND:Smi*Smi->Smi)"
code-creation,Stub,12,0x2c11860,493,"BinaryOpICStub(BIT_OR:Int32*Int32->Int32)"
code-creation,Stub,12,0x2c11a60,420,"BinaryOpICStub(BIT_OR:Int32*Int32->Smi)"
code-creation,Stub,12,0x2c11c20,405,"BinaryOpICStub(BIT_OR:Int32*Smi->Int32)"
code-creation,Stub,12,0x2c11dc0,300,"BinaryOpICStub(BIT_OR:Int32*Smi->Smi)"
code-creation,Stub,12,0x2c11f00,405,"BinaryOpICStub(BIT_OR:Number*Smi->Int32)"
code-creation,Stub,12,0x2c120a0,300,"BinaryOpICStub(BIT_OR:Number*Smi->Smi)"
code-creation,Stub,12,0x2c121e0,405,"BinaryOpICStub(BIT_OR:Smi*Int32->Int32)"
code-creation,Stub,12,0x2c12380,300,"BinaryOpICStub(BIT_OR:Smi*Int32->Smi)"
code-creation,Stub,12,0x2c124c0,156,"BinaryOpICStub(BIT_OR:Smi*Smi->Smi)"
code-creation,Stub,12,0x2c12560,493,"BinaryOpICStub(BIT_XOR:Int32*Int32->Int32)"
code-creation,Stub,12,0x2c12760,420,"BinaryOpICStub(BIT_XOR:Int32*Int32->Smi)"
code-creation,Stub,12,0x2c12920,420,"BinaryOpICStub(BIT_XOR:Int32*Number->Smi)"
code-creation,Stub,12,0x2c12ae0,405,"BinaryOpICStub(BIT_XOR:Int32*Smi->Int32)"
code-creation,Stub,12,0x2c12c80,493,"BinaryOpICStub(BIT_XOR:Number*Int32->Int32)"
code-creation,Stub,12,0x2c12e80,405,"BinaryOpICStub(BIT_XOR:Number*Smi->Int32)"
code-creation,Stub,12,0x2c13020,300,"BinaryOpICStub(BIT_XOR:Number*Smi->Smi)"
code-creation,Stub,12,0x2c13160,405,"BinaryOpICStub(BIT_XOR:Smi*Int32->Int32)"
code-creation,Stub,12,0x2c13300,300,"BinaryOpICStub(BIT_XOR:Smi*Int32->Smi)"
code-creation,Stub,12,0x2c13440,156,"BinaryOpICStub(BIT_XOR:Smi*Smi->Smi)"
code-creation,Stub,12,0x2c134e0,505,"BinaryOpICStub(DIV:Int32*Int32->Int32)"
code-creation,Stub,12,0x2c136e0,409,"BinaryOpICStub(DIV:Int32*Int32->Number)"
code-creation,Stub,12,0x2c13880,389,"BinaryOpICStub(DIV:Int32*Number->Number)"
code-creation,Stub,12,0x2c13a20,425,"BinaryOpICStub(DIV:Int32*Smi->Int32)"
code-creation,Stub,12,0x2c13be0,361,"BinaryOpICStub(DIV:Int32*Smi->Number)"
code-creation,Stub,12,0x2c13d60,389,"BinaryOpICStub(DIV:Number*Int32->Number)"
code-creation,Stub,12,0x2c13f00,333,"BinaryOpICStub(DIV:Number*Number->Number)"
code-creation,Stub,12,0x2c14060,305,"BinaryOpICStub(DIV:Number*Smi->Number)"
code-creation,Stub,12,0x2c141a0,405,"BinaryOpICStub(DIV:Smi*Int32->Int32)"
code-creation,Stub,12,0x2c14340,361,"BinaryOpICStub(DIV:Smi*Int32->Number)"
code-creation,Stub,12,0x2c144c0,305,"BinaryOpICStub(DIV:Smi*Number->Number)"
code-creation,Stub,12,0x2c14600,277,"BinaryOpICStub(DIV:Smi*Smi->Number)"
code-creation,Stub,12,0x2c14720,220,"BinaryOpICStub(DIV:Smi*Smi->Smi)"
code-creation,Stub,12,0x2c14800,326,"BinaryOpICStub(MOD:Number*Smi->Number)"
code-creation,Stub,12,0x2c14960,200,"BinaryOpICStub(MOD:Smi*Smi->Smi)"
code-creation,Stub,12,0x2c14a40,481,"BinaryOpICStub(MUL:Int32*Int32->Int32)"
code-creation,Stub,12,0x2c14c40,405,"BinaryOpICStub(MUL:Int32*Int32->Number)"
code-creation,Stub,12,0x2c14de0,385,"BinaryOpICStub(MUL:Int32*Number->Number)"
code-creation,Stub,12,0x2c14f80,397,"BinaryOpICStub(MUL:Int32*Smi->Int32)"
code-creation,Stub,12,0x2c15120,357,"BinaryOpICStub(MUL:Int32*Smi->Number)"
code-creation,Stub,12,0x2c152a0,385,"BinaryOpICStub(MUL:Number*Int32->Number)"
code-creation,Stub,12,0x2c15440,329,"BinaryOpICStub(MUL:Number*Number->Number)"
code-creation,Stub,12,0x2c155a0,301,"BinaryOpICStub(MUL:Number*Smi->Number)"
code-creation,Stub,12,0x2c156e0,393,"BinaryOpICStub(MUL:Smi*Int32->Int32)"
code-creation,Stub,12,0x2c15880,357,"BinaryOpICStub(MUL:Smi*Int32->Number)"
code-creation,Stub,12,0x2c15a00,301,"BinaryOpICStub(MUL:Smi*Number->Number)"
code-creation,Stub,12,0x2c15b40,309,"BinaryOpICStub(MUL:Smi*Smi->Int32)"
code-creation,Stub,12,0x2c15c80,273,"BinaryOpICStub(MUL:Smi*Smi->Number)"
code-creation,Stub,12,0x2c15da0,188,"BinaryOpICStub(MUL:Smi*Smi->Smi)"
code-creation,Stub,12,0x2c15e60,405,"BinaryOpICStub(SAR:Int32*Smi->Int32)"
code-creation,Stub,12,0x2c16000,304,"BinaryOpICStub(SAR:Int32*Smi->Smi)"
code-creation,Stub,12,0x2c16140,300,"BinaryOpICStub(SAR:Number*Smi->Smi)"
code-creation,Stub,12,0x2c16280,180,"BinaryOpICStub(SAR:Smi*Smi->Smi)"
code-creation,Stub,12,0x2c16340,405,"BinaryOpICStub(SHL:Int32*Smi->Int32)"
code-creation,Stub,12,0x2c164e0,304,"BinaryOpICStub(SHL:Int32*Smi->Smi)"
code-creation,Stub,12,0x2c16620,300,"BinaryOpICStub(SHL:Number*Smi->Smi)"
code-creation,Stub,12,0x2c16760,281,"BinaryOpICStub(SHL:Smi*Smi->Int32)"
code-creation,Stub,12,0x2c16880,180,"BinaryOpICStub(SHL:Smi*Smi->Smi)"
code-creation,Stub,12,0x2c16940,308,"BinaryOpICStub(SHR:Int32*Smi->Smi)"
code-creation,Stub,12,0x2c16a80,417,"BinaryOpICStub(SHR:Number*Smi->Int32)"
code-creation,Stub,12,0x2c16c40,304,"BinaryOpICStub(SHR:Number*Smi->Smi)"
code-creation,Stub,12,0x2c16d80,188,"BinaryOpICStub(SHR:Smi*Smi->Smi)"
code-creation,Stub,12,0x2c16e40,441,"BinaryOpICStub(SUB:Int32*Int32->Int32)"
code-creation,Stub,12,0x2c17000,385,"BinaryOpICStub(SUB:Int32*Number->Number)"
code-creation,Stub,12,0x2c171a0,377,"BinaryOpICStub(SUB:Int32*Smi->Int32)"
code-creation,Stub,12,0x2c17320,385,"BinaryOpICStub(SUB:Number*Int32->Number)"
code-creation,Stub,12,0x2c174c0,329,"BinaryOpICStub(SUB:Number*Number->Number)"
code-creation,Stub,12,0x2c17620,301,"BinaryOpICStub(SUB:Number*Smi->Number)"
code-creation,Stub,12,0x2c17760,357,"BinaryOpICStub(SUB:Smi*Int32->Int32)"
code-creation,Stub,12,0x2c178e0,301,"BinaryOpICStub(SUB:Smi*Number->Number)"
code-creation,Stub,12,0x2c17a20,172,"BinaryOpICStub(SUB:Smi*Smi->Smi)"
code-creation,Stub,12,0x2c17ae0,212,"BinaryOpICStub(MOD:Smi*2->Smi)"
code-creation,Stub,12,0x2c17bc0,212,"BinaryOpICStub(MOD:Smi*4->Smi)"
code-creation,Stub,12,0x2c17ca0,212,"BinaryOpICStub(MOD:Smi*8->Smi)"
code-creation,Stub,12,0x2c17d80,212,"BinaryOpICStub(MOD:Smi*16->Smi)"
code-creation,Stub,12,0x2c17e60,212,"BinaryOpICStub(MOD:Smi*32->Smi)"
code-creation,Stub,12,0x2c17f40,224,"BinaryOpICStub(MOD:Smi*2048->Smi)"
code-creation,Stub,2,0x2c18020,1500,"RecordWriteStub"
code-creation,Stub,3,0x2c18600,260,"StoreFastElementStub"
code-creation,Stub,2,0x2c18720,1500,"RecordWriteStub"
code-creation,Stub,2,0x2c18d00,1489,"RecordWriteStub"
code-creation,Stub,2,0x2c192e0,170,"DoubleToIStub"
code-creation,Stub,3,0x2c193a0,754,"StoreFastElementStub"
code-creation,Stub,3,0x2c196a0,240,"StoreFastElementStub"
code-creation,Stub,2,0x2c197a0,1492,"RecordWriteStub"
code-creation,Stub,3,0x2c19d80,754,"StoreFastElementStub"
code-creation,Stub,3,0x2c1a080,240,"StoreFastElementStub"
code-creation,Stub,3,0x2c1a180,746,"StoreFastElementStub"
code-creation,Stub,3,0x2c1a480,260,"StoreFastElementStub"
code-creation,Stub,3,0x2c1a5a0,766,"StoreFastElementStub"
code-creation,Stub,3,0x2c1a8a0,260,"StoreFastElementStub"
code-creation,Stub,3,0x2c1a9c0,766,"StoreFastElementStub"
code-creation,Stub,3,0x2c1acc0,264,"StoreFastElementStub"
code-creation,Stub,3,0x2c1ade0,794,"StoreFastElementStub"
code-creation,Stub,3,0x2c1b100,264,"StoreFastElementStub"
code-creation,Stub,3,0x2c1b220,794,"StoreFastElementStub"
code-creation,Stub,2,0x2c1b540,448,"TypeofStub"
code-creation,Stub,2,0x2c1b700,202,"JSEntryStub"
code-creation,Stub,2,0x2c1b7e0,202,"JSConstructEntryStub"
code-creation,Builtin,4,0x2c1b8c0,80,"Illegal"
code-creation,Builtin,4,0x2c1b920,80,"EmptyFunction"
code-creation,Builtin,4,0x2c1b980,80,"ArrayConcat"
code-creation,Builtin,4,0x2c1b9e0,80,"ArrayIsArray"
code-creation,Builtin,4,0x2c1ba40,80,"ArrayPop"
code-creation,Builtin,4,0x2c1baa0,80,"ArrayPush"
code-creation,Builtin,4,0x2c1bb00,80,"ArrayShift"
code-creation,Builtin,4,0x2c1bb60,80,"ArraySlice"
